season,team,position,depth_chart_position,jersey_number,status,player_name,first_name,last_name,birth_date,height,weight,college,player_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number,age
2024,NYJ,QB,QB,8.0,ACT,Aaron Rodgers,Aaron,Rodgers,1983-12-02,74.0,225,California,00-0023459,8439,0ce48193-e2fa-466e-a986-33f751add206,7200,4307,2241,RodgAa00,2593,96,19,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",QB,18,REG,A01,Aaron,ROD339293,29851,3200524f-4433-9293-a3cf-ad7758d03003,2005,2005.0,GB,24.0,40.0
2024,ATL,QB,QB,2.0,RET,Matt Ryan,Matthew,Ryan,1985-05-17,76.0,217,Boston College,00-0026143,11237,7e648a0b-fdc8-4661-a587-5826f2cac11b,8780,5610,4317,RyanMa00,732,24,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s6zam4ekrrnonsck6vak",,18,REG,R02,Matt,RYA238179,33084,32005259-4123-8179-1aae-5603693aba86,2008,2008.0,ATL,3.0,39.0
2024,IND,QB,QB,15.0,ACT,Joe Flacco,Joseph,Flacco,1985-01-16,78.0,245,Delaware,00-0026158,11252,64797df2-efd3-4b27-86ee-1d48f7edb09f,8795,5648,4332,FlacJo00,611,19,16,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxvyoeojkif7tnfviamc",QB,18,REG,A01,Joe,FLA009602,33099,3200464c-4100-9602-96e8-665718e215c0,2008,2008.0,BAL,18.0,39.0
2024,BAL,QB,QB,17.0,ACT,Josh Johnson,Joshua,Johnson,1986-05-15,75.0,219,San Diego,00-0026300,11394,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1,8937,5653,4474,JohnJo05,6489,260,16,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gbaye18gptzb1jpyswv8",,20,DIV,A01,Josh,JOH000001,33241,32004a4f-4800-0001-966a-b4f304503fea,2008,2008.0,TB,160.0,38.0
2024,LA,QB,QB,9.0,ACT,Matthew Stafford,John,Stafford,1988-02-07,75.0,220,Georgia,00-0026498,12483,ade43b1a-0601-4672-83b6-d246bc066a19,9265,5971,4924,StafMa00,9038,421,15,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xdlnnbapdbk8trxqlasu",QB,20,DIV,A01,Matthew,STA134157,34452,32005354-4113-4157-19b1-37e6835d09b9,2009,2009.0,DET,1.0,36.0
2024,CAR,QB,QB,14.0,ACT,Andy Dalton,Andrew,Dalton,1987-10-29,74.0,220,Texas Christian,00-0027973,14012,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1,24822,7355,6187,DaltAn00,12841,829,13,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/az1zo7fl2tozg50tgs0d",,18,REG,A01,Andy,DAL659900,37110,32004441-4c65-9900-551d-a31a0423b3ca,2011,2011.0,CIN,35.0,36.0
2024,NYJ,QB,QB,2.0,ACT,Tyrod Taylor,Tyrod,Taylor,1989-08-03,73.0,215,Virginia Tech,00-0028118,14163,7f3ef024-eb34-46af-8b9e-544cdf09378f,24967,7357,6332,TaylTy00,12831,827,13,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk8e04jdsvigd6fky3uy",,18,REG,A01,Tyrod,TAY764868,37255,32005441-5976-4868-b81d-df31fbb7fe72,2011,2011.0,BAL,180.0,35.0
2024,HOU,QB,QB,18.0,RES,Case Keenum,Casey,Keenum,1988-02-17,73.0,215,Houston,00-0028986,15168,1b3d350a-478b-4542-a430-d12cc96adc22,26483,8065,7323,,15694,1737,12,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zj2xieg6nctsabgzu65n",,20,DIV,R01,Case,KEE690598,38937,32004b45-4569-0598-1a82-7cad5305e148,2012,2012.0,,,36.0
2024,PIT,QB,QB,3.0,ACT,Russell Wilson,Russell,Wilson,1988-11-29,71.0,215,Wisconsin,00-0029263,14881,409d4cac-ee90-4470-9710-ebe671678339,25785,8043,7077,WilsRu00,14536,1234,12,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u36rhg0md8ey3b4khbre",QB,19,WC,A01,Russell,WIL777781,38605,32005749-4c77-7781-795c-94c753706d1d,2012,2012.0,SEA,75.0,35.0
2024,ATL,QB,QB,18.0,ACT,Kirk Cousins,Kirk,Cousins,1988-08-19,75.0,202,Michigan State,00-0029604,14880,bbd0942c-6f77-4f83-a6d0-66ec6548019e,25812,8057,7102,CousKi00,14252,1166,12,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yt6n07jezvfmcsoq0j13",,18,REG,A01,Kirk,COU709400,38632,3200434f-5570-9400-e1ae-f835abb5963e,2012,2012.0,WAS,102.0,36.0
